experiment,dataset,hop,cache_mode,n_runs_found,ap_mean,ap_std,mean_epoch_time_s,mean_total_time_s,mean_epochs_to_converge,cache_hit_rate
TGN_SEAL-Dept1,dept1,2hop,nocache,2,0.9402632128564168,0.00021820646431724988,166.96782322724658,4589.225642085075,27.5,
TGN_SEAL-Dept1,dept1,2hop,cache,2,0.9416678212848572,0.001133792153304447,164.63516597270964,6182.067116856575,37.5,0.7143381768645702
TGN_SEAL-Dept1,dept1,2hop,layered-cache,2,0.9380169779149277,0.0003731237105711327,155.67302118722722,3734.5171657800674,24.0,0.7143739139744647
TGN_SEAL-Dept2,dept2,2hop,nocache,2,0.9316618399321525,0.00015422520002283946,100.91241969839558,2018.5412102937698,20.0,
TGN_SEAL-Dept2,dept2,2hop,cache,2,0.9256929677977261,7.604439948033503e-05,97.46183442414463,1952.9810168743134,20.0,0.6969937175554506
TGN_SEAL-Dept2,dept2,2hop,layered-cache,2,0.9247509269171551,0.0010487971632202608,92.28692565077827,1338.7041450738907,14.5,0.6970343889089379
TGN_SEAL-Dept3,dept3,2hop,nocache,2,0.7956047751865996,0.0005179256973976698,31.85501102038792,413.81176364421844,13.0,
TGN_SEAL-Dept3,dept3,2hop,cache,2,0.7941730094868682,0.0013210387645605226,31.124160559688296,529.4641004800797,17.0,0.5659466554316828
TGN_SEAL-Dept3,dept3,2hop,layered-cache,2,0.7706633326946983,0.003314904237191496,30.490048745099237,518.330828666687,17.0,0.5659907565567062
TGN_SEAL-Dept4,dept4,2hop,nocache,2,0.9054228009837468,0.001513368629225631,110.24698005384869,2365.7083765268326,21.5,
TGN_SEAL-Dept4,dept4,2hop,cache,2,0.899605238425363,2.3756000282926237e-05,140.88986062652924,2484.2491493225098,17.5,0.7319182254827908
TGN_SEAL-Dept4,dept4,2hop,layered-cache,2,0.8964918448050037,0.000837439175167598,94.98768270522162,1662.467368364334,17.5,0.7319182254827908
